"capturedate","id","lat","long","alt"
"2023-11-01T22:25:14","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T22:25:14","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T22:25:14","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T22:25:14","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T22:25:14","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T22:25:14","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T22:25:14","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T22:38:34","216895541043524719",43.4775171486634,-80.5238942627185,332.188176850788
"2023-11-01T22:39:12","38a7fe867c5e7119",43.4719956,-80.5626885,305.899993896484
"2023-11-01T22:49:14","38a7fe867c5e7119",43.4719956,-80.5626885,305.899993896484
"2023-11-01T22:53:37","216895541043524719",43.4772119227834,-80.5250194547727,321.333932999521
"2023-11-01T22:59:36","38a7fe867c5e7119",43.4719956,-80.5626885,305.899993896484
"2023-11-01T23:02:32","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:02:32","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:02:32","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:02:32","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:02:32","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:02:32","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:02:32","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:14:50","38a7fe867c5e7119",43.4719956,-80.5626885,305.899993896484
"2023-11-01T23:15:04","-8870730110002065067",43.4630028598252,-80.5433473462906,345.809021278284
"2023-11-01T23:27:41","8518227389474817982",43.4785759678318,-80.5235723492126,375.481536865234
"2023-11-01T23:24:50","38a7fe867c5e7119",43.4719956,-80.5626885,305.899993896484
